tree,1105,560,38,30,(62, 87, 77),near,8
tree,1156,453,124,102,(34, 72, 46),middle,8
tree,428,442,35,45,(36, 49, 35),middle,8
tree,1111,420,54,44,(45, 68, 60),middle,8
tree,1063,417,47,104,(50, 75, 67),middle,8
tree,0,412,104,308,(35, 69, 50),middle,8
tree,0,400,18,59,(39, 68, 51),middle,8
tree,437,395,29,38,(44, 65, 57),middle,8
tree,0,222,332,192,(39, 77, 49),far,8
tree,572,220,201,121,(123, 136, 89),far,8
tree,433,198,121,128,(37, 56, 56),far,8
tree,367,195,65,85,(68, 91, 99),far,8
tree,280,192,55,34,(34, 56, 46),far,8
tree,664,149,106,29,(82, 108, 115),far,8
tree,876,144,96,44,(84, 110, 117),far,8
tree,791,100,101,88,(84, 110, 120),far,8
tree,1248,80,32,62,(37, 50, 53),far,8
tree,1010,64,270,216,(39, 53, 56),far,8
tree,227,45,58,98,(31, 47, 36),far,8
tree,849,0,133,29,(39, 64, 45),far,8
tree,305,0,80,57,(90, 100, 63),far,8
person,494,297,548,384,(71, 83, 75),middle,8
potted plant,570,255,632,370,(50, 68, 53),middle,8
person,296,235,314,270,(37, 46, 42),far,8
bicycle,334,273,352,309,(81, 95, 95),middle,8
